timestamp,message,logStreamName
1617825308645,"END RequestId: 458df35a-881b-4f37-a08a-bb5a9ad50a6c
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825308645,"REPORT RequestId: 458df35a-881b-4f37-a08a-bb5a9ad50a6c	Duration: 143.10 ms	Billed Duration: 144 ms	Memory Size: 128 MB	Max Memory Used: 82 MB	
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825309518,"START RequestId: c729326c-4f56-4d35-8aff-68d33b320b35 Version: $LATEST
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825309644,"START RequestId: 4fa9312d-0233-408e-8ad0-0c6cda6c387b Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825309646,"END RequestId: c729326c-4f56-4d35-8aff-68d33b320b35
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825309646,"REPORT RequestId: c729326c-4f56-4d35-8aff-68d33b320b35	Duration: 124.58 ms	Billed Duration: 125 ms	Memory Size: 128 MB	Max Memory Used: 82 MB	
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825309939,"END RequestId: 4fa9312d-0233-408e-8ad0-0c6cda6c387b
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825309939,"REPORT RequestId: 4fa9312d-0233-408e-8ad0-0c6cda6c387b	Duration: 290.94 ms	Billed Duration: 291 ms	Memory Size: 128 MB	Max Memory Used: 83 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825311655,"START RequestId: 9994cef3-916a-42ec-8878-a74de3d742a0 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825311799,"END RequestId: 9994cef3-916a-42ec-8878-a74de3d742a0
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825311799,"REPORT RequestId: 9994cef3-916a-42ec-8878-a74de3d742a0	Duration: 140.86 ms	Billed Duration: 141 ms	Memory Size: 128 MB	Max Memory Used: 83 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825312794,"START RequestId: 85ddcbe9-fd2b-42d4-9afc-bfa918eb9745 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825312919,"END RequestId: 85ddcbe9-fd2b-42d4-9afc-bfa918eb9745
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825312919,"REPORT RequestId: 85ddcbe9-fd2b-42d4-9afc-bfa918eb9745	Duration: 122.54 ms	Billed Duration: 123 ms	Memory Size: 128 MB	Max Memory Used: 83 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825314024,"START RequestId: bb78649e-4da2-4019-bcf2-6c7a61600eab Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825314159,"END RequestId: bb78649e-4da2-4019-bcf2-6c7a61600eab
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825314159,"REPORT RequestId: bb78649e-4da2-4019-bcf2-6c7a61600eab	Duration: 131.68 ms	Billed Duration: 132 ms	Memory Size: 128 MB	Max Memory Used: 83 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825314681,"START RequestId: 4bff7a51-37e4-431f-b743-931ed5a5d5c1 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825314859,"END RequestId: 4bff7a51-37e4-431f-b743-931ed5a5d5c1
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825314859,"REPORT RequestId: 4bff7a51-37e4-431f-b743-931ed5a5d5c1	Duration: 174.54 ms	Billed Duration: 175 ms	Memory Size: 128 MB	Max Memory Used: 83 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825316744,"START RequestId: 442640ce-6dc1-4822-8bad-28902c5b8508 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825316879,"END RequestId: 442640ce-6dc1-4822-8bad-28902c5b8508
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825316879,"REPORT RequestId: 442640ce-6dc1-4822-8bad-28902c5b8508	Duration: 133.16 ms	Billed Duration: 134 ms	Memory Size: 128 MB	Max Memory Used: 84 MB	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825317958,"START RequestId: 99977df9-53e3-469f-9634-fe69d9443d42 Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
